participant,video,timestamp_start,timestamp_end,length,diff_from_mean,diff_from_previous
B36,hard,2021-05-21 13:57:06,2021-05-21 14:03:50,0.00467592592758592,0,0.00173611110949423
B36,serene,2021-05-21 14:06:20,2021-05-21 14:10:17,0.00274305555649335,0.000001,0.00173611110949423
B36,sad,2021-05-21 14:12:47,2021-05-21 14:14:16,0.00103009259328246,0.000001,0.00173611110949423
B37,easy,2021-05-20 09:06:31,2021-05-20 09:12:48,0.00436342592001893,0,17
B37,medium,2021-05-20 09:15:56,2021-05-20 09:22:19,0.00443287036614493,0.000001,0.00217592593253357
B37,hard,2021-05-20 09:23:39,2021-05-20 09:30:23,0.00467592592758592,0,0.000925925924093463
B37,sad,2021-05-20 09:31:42,2021-05-20 09:33:11,0.00103009259328246,0.000001,0.000914351854589768
B37,serene,2021-05-20 09:34:37,2021-05-20 09:38:34,0.00274305555649335,0.000001,0.000995370370219462
B38,medium,2021-05-20 10:45:06,2021-05-20 10:51:30,0.00444444444292458,-0.00001,18
B38,easy,2021-05-20 10:54:00,2021-05-20 11:00:17,0.00436342592001893,0,0.00173611111677019
B38,hard,2021-05-20 11:02:47,2021-05-20 11:09:31,0.00467592592030996,0,0.00173611111677019
B38,serene,2021-05-20 11:12:01,2021-05-20 11:15:58,0.00274305554921739,0.000001,0.00173611111677019
B38,sad,2021-05-20 11:18:28,2021-05-20 11:19:57,0.00103009259328246,0.000001,0.00173611111677019
B39,easy,2021-05-18 15:25:48,2021-05-18 15:32:05,0.00436342592729488,0,19
B39,medium,2021-05-18 15:34:35,2021-05-18 15:40:58,0.00443287037342088,0.000001,0.00173611110949423
B39,hard,2021-05-18 15:43:28,2021-05-18 15:50:12,0.00467592592758592,0,0.00173611110949423
B39,sad,2021-05-18 15:52:43,2021-05-18 15:54:12,0.00103009259328246,0.000001,0.00174768518627388
B39,serene,2021-05-18 15:56:45,2021-05-18 16:00:42,0.00274305555649335,0.000001,0.00177083333255723
B40,medium,2021-05-25 14:29:54,2021-05-25 14:36:17,0.00443287036614493,0.000001,20
B40,easy,2021-05-25 14:38:47,2021-05-25 14:45:04,0.00436342592729488,0,0.00173611110949423
B40,hard,2021-05-25 14:47:34,2021-05-25 14:54:18,0.00467592592758592,0,0.00173611110949423
B40,serene,2021-05-25 14:56:48,2021-05-25 15:00:45,0.00274305555649335,0.000001,0.00173611110949423
B40,sad,2021-05-25 15:03:15,2021-05-25 15:04:44,0.00103009259328246,0.000001,0.00173611110949423
B41,easy,2021-05-27 09:10:40,2021-05-27 09:16:57,0.00436342592729488,0,21
B41,medium,2021-05-27 09:19:27,2021-05-27 09:25:50,0.00443287037342088,0.000001,0.00173611110949423
B41,hard,2021-05-27 09:28:20,2021-05-27 09:35:04,0.00467592592758592,0,0.00173611110949423
B41,sad,2021-05-27 09:37:34,2021-05-27 09:39:03,0.00103009259328246,0.000001,0.00173611110949423
B41,serene,2021-05-27 09:41:36,2021-05-27 09:45:33,0.00274305555649335,0.000001,0.00177083333255723
B42,medium,2021-05-27 10:45:23,2021-05-27 10:51:46,0.00443287036614493,0.000001,22
B42,easy,2021-05-27 10:54:16,2021-05-27 11:00:33,0.00436342592001893,0,0.00173611111677019
B42,hard,2021-05-27 11:03:04,2021-05-27 11:09:48,0.00467592592758592,0,0.00174768518627388
B42,serene,2021-05-27 11:12:18,2021-05-27 11:16:15,0.00274305555649335,0.000001,0.00173611110949423
B42,sad,2021-05-27 11:18:45,2021-05-27 11:20:14,0.00103009259328246,0.000001,0.00173611110949423
B43,easy,2021-05-28 09:12:49,2021-05-28 09:19:06,0.00436342592729488,0,23
B43,medium,2021-05-28 09:21:36,2021-05-28 09:27:59,0.00443287037342088,0.000001,0.00173611110949423
B43,hard,2021-05-28 09:30:29,2021-05-28 09:37:13,0.00467592592758592,0,0.00173611110949423
B43,sad,2021-05-28 09:39:44,2021-05-28 09:41:13,0.0010300925860065,0.000001,0.00174768518627388
B43,serene,2021-05-28 09:43:46,2021-05-28 09:47:43,0.00274305554921739,0.000001,0.00177083333983319
B44,medium,2021-05-28 15:03:24,2021-05-28 15:09:47,0.00443287037342088,0.000001,24
B44,easy,2021-05-28 15:12:17,2021-05-28 15:18:34,0.00436342592729488,0,0.00173611110949423
B44,hard,2021-05-28 15:21:04,2021-05-28 15:27:48,0.00467592592758592,0,0.00173611110949423
B44,serene,2021-05-28 15:30:18,2021-05-28 15:34:15,0.00274305555649335,0.000001,0.00173611110949423
B44,sad,2021-05-28 15:36:45,2021-05-28 15:38:14,0.00103009259259259,0,0.00173611111111111
